    id      t_sec       phi_rad    lambda_rad           h_m       psi_rad     theta_rad        xi_radsaved (Y/N)
   202    +20.200  +0.752404657  -0.130360057  +1290.177755    +0.6949901    -0.0256475    +0.0060585    +1
   203    +20.300  +0.752405024  -0.130359638  +1290.170397    +0.6951082    -0.0246056    +0.0059462    +1
   204    +20.400  +0.752405390  -0.130359219  +1290.165096    +0.6950250    -0.0238131    +0.0057149    +1
   205    +20.500  +0.752405757  -0.130358800  +1290.161785    +0.6947388    -0.0232840    +0.0053714    +1
   206    +20.600  +0.752406123  -0.130358381  +1290.159707    +0.6944018    -0.0225811    +0.0048853    +1
   207    +20.700  +0.752406489  -0.130357962  +1290.158847    +0.6941173    -0.0217226    +0.0043560    +1
   208    +20.800  +0.752406856  -0.130357544  +1290.159528    +0.6939306    -0.0207704    +0.0038593    +1
   209    +20.900  +0.752407222  -0.130357125  +1290.161878    +0.6938866    -0.0197766    +0.0034479    +1
   210    +21.000  +0.752407588  -0.130356707  +1290.166295    +0.6940204    -0.0187227    +0.0031247    +1
   211    +21.100  +0.752407953  -0.130356289  +1290.173400    +0.6942683    -0.0174841    +0.0028666    +1
   212    +21.200  +0.752408319  -0.130355871  +1290.183439    +0.6944918    -0.0157258    +0.0025999    +1
   213    +21.300  +0.752408685  -0.130355453  +1290.196797    +0.6946432    -0.0141736    +0.0022951    +1
   214    +21.400  +0.752409050  -0.130355036  +1290.213912    +0.6946476    -0.0137522    +0.0019650    +1
   215    +21.500  +0.752409415  -0.130354618  +1290.234579    +0.6944746    -0.0144622    +0.0015877    +1
   216    +21.600  +0.752409780  -0.130354201  +1290.257725    +0.6942523    -0.0151703    +0.0011683    +1
   217    +21.700  +0.752410145  -0.130353784  +1290.282051    +0.6940517    -0.0146701    +0.0007915    +1
   218    +21.800  +0.752410510  -0.130353368  +1290.307210    +0.6938352    -0.0130562    +0.0005029    +1
   219    +21.900  +0.752410874  -0.130352951  +1290.334148    +0.6935416    -0.0118251    +0.0002794    +1
   220    +22.000  +0.752411239  -0.130352535  +1290.363551    +0.6932337    -0.0116996    +0.0000192    +1
   221    +22.100  +0.752411603  -0.130352119  +1290.394707    +0.6930722    -0.0121110    -0.0002500    +1
   222    +22.200  +0.752411968  -0.130351703  +1290.426340    +0.6930373    -0.0119867    -0.0003904    +1
   223    +22.300  +0.752412332  -0.130351288  +1290.458315    +0.6928945    -0.0115002    -0.0003509    +1
   224    +22.400  +0.752412696  -0.130350872  +1290.491025    +0.6923734    -0.0115101    -0.0001875    +1
   225    +22.500  +0.752413060  -0.130350457  +1290.524135    +0.6913828    -0.0121464    -0.0000797    +1
   226    +22.600  +0.752413424  -0.130350042  +1290.556982    +0.6901077    -0.0128093    -0.0001285    +1
   227    +22.700  +0.752413788  -0.130349627  +1290.589019    +0.6887920    -0.0130948    -0.0002942    +1
   228    +22.800  +0.752414152  -0.130349212  +1290.620075    +0.6875846    -0.0133346    -0.0004721    +1
   229    +22.900  +0.752414516  -0.130348797  +1290.650219    +0.6865418    -0.0141304    -0.0005673    +1
   230    +23.000  +0.752414880  -0.130348383  +1290.679286    +0.6857434    -0.0154936    -0.0005382    +1
   231    +23.100  +0.752415244  -0.130347968  +1290.706716    +0.6852837    -0.0167127    -0.0003682    +1
   232    +23.200  +0.752415608  -0.130347554  +1290.732093    +0.6850783    -0.0172295    -0.0000180    +1
   233    +23.300  +0.752415971  -0.130347140  +1290.755879    +0.6850126    -0.0177241    +0.0004703    +1
   234    +23.400  +0.752416335  -0.130346726  +1290.778411    +0.6850790    -0.0188860    +0.0009942    +1
   235    +23.500  +0.752416699  -0.130346312  +1290.799354    +0.6851212    -0.0206161    +0.0015751    +1
   236    +23.600  +0.752417063  -0.130345898  +1290.817704    +0.6850031    -0.0219296    +0.0021509    +1
   237    +23.700  +0.752417427  -0.130345485  +1290.833050    +0.6847729    -0.0223633    +0.0026092    +1
   238    +23.800  +0.752417791  -0.130345071  +1290.846236    +0.6844646    -0.0227258    +0.0029863    +1
   239    +23.900  +0.752418155  -0.130344657  +1290.858043    +0.6841008    -0.0235280    +0.0033282    +1
   240    +24.000  +0.752418519  -0.130344243  +1290.868803    +0.6837410    -0.0244508    +0.0036148    +1
   241    +24.100  +0.752418883  -0.130343829  +1290.878294    +0.6833595    -0.0249682    +0.0038940    +1
   242    +24.200  +0.752419247  -0.130343415  +1290.886054    +0.6830079    -0.0248303    +0.0041941    +1
   243    +24.300  +0.752419611  -0.130343001  +1290.892154    +0.6828827    -0.0240910    +0.0045046    +1
   244    +24.400  +0.752419975  -0.130342588  +1290.897498    +0.6829732    -0.0232790    +0.0049281    +1
   245    +24.500  +0.752420340  -0.130342174  +1290.902987    +0.6831718    -0.0230143    +0.0054241    +1
   246    +24.600  +0.752420704  -0.130341760  +1290.908640    +0.6834870    -0.0233378    +0.0059087    +1
   247    +24.700  +0.752421068  -0.130341346  +1290.914100    +0.6839146    -0.0236812    +0.0063588    +1
   248    +24.800  +0.752421432  -0.130340932  +1290.919444    +0.6844316    -0.0235276    +0.0067717    +1
   249    +24.900  +0.752421796  -0.130340519  +1290.925026    +0.6849734    -0.0228861    +0.0071205    +1
   250    +25.000  +0.752422159  -0.130340105  +1290.931629    +0.6853793    -0.0222934    +0.0073966    +1
   251    +25.100  +0.752422523  -0.130339691  +1290.939872    +0.6855108    -0.0223260    +0.0076182    +1
   252    +25.200  +0.752422887  -0.130339277  +1290.949294    +0.6853452    -0.0227355    +0.0078187    +1
   253    +25.300  +0.752423251  -0.130338863  +1290.958790    +0.6850237    -0.0226664    +0.0079155    +1
   254    +25.400  +0.752423614  -0.130338449  +1290.967700    +0.6846603    -0.0219682    +0.0079472    +1
   255    +25.500  +0.752423978  -0.130338035  +1290.976293    +0.6843193    -0.0213348    +0.0079342    +1
   256    +25.600  +0.752424342  -0.130337621  +1290.985160    +0.6839985    -0.0214280    +0.0078797    +1
   257    +25.700  +0.752424705  -0.130337206  +1290.994324    +0.6835973    -0.0219821    +0.0078330    +1
   258    +25.800  +0.752425069  -0.130336792  +1291.003051    +0.6831393    -0.0223678    +0.0077354    +1
